age,sexe,region,niveau_education_parents,situation_financiere,note_moyenne,taux_absenteisme,taux_remise_devoirs,temps_moodle_heures,participation_forums,satisfaction_etudiant,abandon
20,M,Urbaine,Université,Précaire,19.047227360102273,19.35168773138802,89.01213083347092,4.622912189155426,2,5.439422931154454,0
19,M,Urbaine,Primaire,Précaire,9.851869691172478,17.53686069103065,100.0,88.63871240664632,6,6.585312346928008,0
21,F,Urbaine,Secondaire,Moyenne,10.750124083153612,5.910023636451087,97.9463167900787,95.90403644040792,5,6.011871428279291,0
23,F,Urbaine,Université,Moyenne,11.810630960666256,10.248072450369504,66.5649570925833,12.407064126867585,5,7.21134945056168,0
19,M,Rurale,Secondaire,Précaire,13.187396546129241,22.2156038083459,99.23422334210645,3.348257124832542,2,6.988754831147479,0
19,F,Urbaine,Post-grad,Bonne,12.790652435864356,50.00285008772033,100.0,67.12869652775598,6,10.0,0
23,M,Urbaine,Université,Moyenne,15.852287381844352,40.091269066913185,100.0,11.882958872011542,5,5.990369269802606,0
21,F,Urbaine,Secondaire,Moyenne,4.720823788394375,27.14066205793128,78.97762477588768,24.997209547004672,4,5.026584628571516,1
19,F,Semi-urbaine,Secondaire,Bonne,4.839210389412981,36.171810344678384,77.88324256796548,3.314215659966355,7,8.291469894168543,1
21,F,Urbaine,Secondaire,Précaire,10.512365483969552,52.5270632394125,70.87277467829004,12.826588339234346,5,7.143044088555561,0
19,F,Urbaine,Secondaire,Moyenne,15.291900562631126,9.372930398294125,89.621911965042,78.72822558749635,6,5.6273114267020485,0
19,F,Rurale,Primaire,Moyenne,7.303055905183211,54.165928731039244,95.9930137368355,81.58326782455987,6,8.564231209952773,0
20,M,Urbaine,Secondaire,Bonne,2.977102980918728,37.5962763358341,77.30006219983743,11.6019515070094,6,6.442016199422685,1
17,F,Urbaine,Secondaire,Moyenne,13.713538218657625,45.74049041565562,82.87277053496258,20.467169328866692,3,10.0,0
17,M,Urbaine,Université,Moyenne,12.730971671108144,10.113053816123028,54.19423306571404,7.2072859528232085,5,5.099710186287067,0
18,F,Semi-urbaine,Université,Bonne,8.729374779601711,19.827537557687062,100.0,3.8533743754529315,4,5.83835870634446,0
17,F,Urbaine,Université,Précaire,9.04338119783721,44.17852325659172,61.52535442749854,242.50058759414213,8,7.255322699686899,0
20,F,Rurale,Primaire,Bonne,9.090768841095976,25.460602075477478,90.62169628289206,53.29669717072485,3,9.715569104116142,0
18,F,Semi-urbaine,Secondaire,Bonne,12.331605952421821,23.121024686283924,88.57382250058521,39.054841792294695,2,5.5729964500056095,0
17,F,Urbaine,Université,Précaire,10.121054171450979,52.68198911496275,85.68711952797395,72.514664812806,1,7.753011361954854,1
22,F,Urbaine,Secondaire,Moyenne,13.482191756926559,23.33083074794687,86.03195317509534,91.65319140577868,7,4.672064277217615,0
19,F,Urbaine,Primaire,Précaire,3.4361200112868264,31.115695134245584,69.82328236415749,82.17941476485217,3,8.833449728631676,1
20,M,Urbaine,Université,Moyenne,9.429444404616602,52.4666091044456,80.07902193708259,0.8338876540454417,2,5.6963526426708455,1
17,M,Urbaine,Université,Moyenne,8.621838117266849,55.974819632807204,99.53425978378256,10.339395487863964,4,8.237545479169613,0
18,M,Semi-urbaine,Secondaire,Moyenne,11.230977964882523,13.000533513897384,100.0,53.196820650017685,6,8.340810978118903,0
20,M,Rurale,Primaire,Bonne,10.385856724529585,22.66906582078569,78.68648592137589,23.56096621950301,2,3.3681360079603544,0
17,F,Rurale,Université,Moyenne,14.3935313396873,39.42268652361112,61.5937070428463,202.2281760598292,7,7.4186537029837405,0
20,M,Urbaine,Université,Moyenne,6.4219896850198275,59.65756479476296,73.3198922305443,54.74169070087564,4,5.988623213783098,1
18,F,Rurale,Université,Bonne,12.136474428992257,13.26139166973097,100.0,156.80596560163832,10,7.997021608402362,0
19,M,Semi-urbaine,Université,Bonne,13.675009269635117,40.25938354059749,74.21283265019161,11.247664498051078,8,5.251879035200569,1
18,M,Rurale,Université,Précaire,17.569942309685864,23.855608755377553,83.5419449461033,99.7392236705767,6,5.837136592565713,0
23,F,Urbaine,Secondaire,Bonne,10.554702086719574,52.07941326840836,100.0,19.382657294700643,7,9.396930346770441,0
19,F,Rurale,Primaire,Précaire,12.973375813057551,14.495928591700528,77.09655991994336,228.12856808972467,3,9.242152736898023,0
17,F,Urbaine,Université,Bonne,6.588411622312905,53.008511662388315,82.51696915528485,8.580279247407576,4,5.011788531538356,0
21,F,Urbaine,Université,Moyenne,4.824131387060929,39.11389771858987,96.91747436134466,36.31863619472705,8,10.0,1
17,F,Urbaine,Université,Précaire,14.5343231273451,21.296874618134353,100.0,78.71428616721334,5,1.8358816584730633,0
20,M,Rurale,Primaire,Moyenne,11.983319119055789,6.885748190542336,75.31672202957532,28.338281414644324,4,7.429157852484297,0
17,F,Rurale,Primaire,Moyenne,15.535538069395269,34.95093655024614,100.0,31.563490499828394,4,4.431098275434759,0
17,F,Urbaine,Université,Moyenne,7.879791333090752,25.38970213381382,80.77706935203518,214.72202133427976,5,7.742758195234779,0
20,F,Urbaine,Université,Précaire,13.559706418586257,4.99665015511726,71.71106941802593,27.69606477025058,5,6.476712894198601,0
21,M,Urbaine,Post-grad,Moyenne,17.606453521631558,53.90471040258038,88.74334645461336,46.32615782623365,4,4.964721496332442,1
20,F,Urbaine,Université,Bonne,13.259116825071798,21.800874720101778,67.63647913347104,2.8041669268884175,3,5.525189308839649,0
19,M,Urbaine,Université,Moyenne,12.829744516773147,51.18208698936792,92.08017147194322,92.32453761350989,6,5.4267400568915,0
19,M,Urbaine,Université,Précaire,12.02566824247305,36.383550059999706,100.0,52.23008146275377,8,7.152768815177892,1
17,M,Rurale,Université,Moyenne,7.287355628622263,54.451120717823166,100.0,25.877417106061873,5,8.949451201811456,1
18,F,Urbaine,Université,Précaire,16.066718807131046,2.1424560859513444,83.42650543314817,0.8150846738206612,5,10.0,0
19,F,Urbaine,Université,Bonne,10.167427080584803,30.393615862501594,100.0,44.783835980409926,3,6.658211603666272,0
22,F,Urbaine,Primaire,Bonne,13.513449769149052,65.20465348706162,71.02717407074103,0.6369310646760993,5,7.597628449816294,1
20,F,Semi-urbaine,Secondaire,Moyenne,7.31089708028624,14.106139002088291,73.54488045996744,0.060216941699189765,5,9.372431468804868,1
17,M,Rurale,Université,Moyenne,8.461621006476658,29.87765014304245,83.84252837183104,47.868471580215896,10,6.102127099941836,0
20,M,Rurale,Secondaire,Moyenne,16.305262197666707,9.442851918802523,86.31671799774756,10.475413494516609,4,5.43383055033013,0
19,M,Urbaine,Secondaire,Moyenne,10.958093133126471,63.59035595895273,65.6004577118535,10.652702950173767,4,10.0,0
18,F,Urbaine,Secondaire,Bonne,16.359826428127633,21.821606088093304,80.40283761834353,52.96067079518622,9,6.640464731343508,0
21,M,Urbaine,Secondaire,Moyenne,11.765308022824447,31.5482416206224,82.83116924520918,2.7596331917401256,5,7.434673695365093,1
22,F,Rurale,Secondaire,Moyenne,6.474306681126428,26.070792612118883,100.0,18.800574900627566,4,3.7922660904052012,1
21,F,Semi-urbaine,Secondaire,Moyenne,14.676202799195162,42.24273898295277,65.59981725497754,8.092540116164889,2,5.952374790981958,1
18,M,Rurale,Post-grad,Moyenne,10.230323046733176,17.082926524558278,64.2092718912164,43.39602919930993,4,10.0,0
19,F,Semi-urbaine,Secondaire,Bonne,14.09606644055113,25.65863199801682,87.6356341390685,54.20074081339822,4,7.92561291836371,0
20,F,Rurale,Primaire,Moyenne,12.075632602620246,26.515744336502017,100.0,63.851527310621435,5,6.942636682725373,0
21,F,Urbaine,Primaire,Moyenne,7.370645316171389,6.069065270309633,93.27389521060773,14.734073352681461,2,9.787431128836253,0
19,F,Semi-urbaine,Université,Précaire,12.492884296111708,3.981419539660806,89.54015340134461,4.674328519571238,8,3.709805491720439,0
19,M,Urbaine,Secondaire,Moyenne,18.588669426458395,33.542493553849475,80.67087954997703,4.097591194857808,3,6.170501366582304,0
17,M,Urbaine,Université,Moyenne,13.478959375543377,4.610898882254193,95.14157393942247,27.769496960679486,5,10.0,0
17,F,Urbaine,Université,Précaire,11.82744674098361,22.876947246039812,97.40333829725063,145.79470308961442,4,6.900062418378934,0
21,F,Urbaine,Université,Précaire,15.226030205870693,12.774179627077423,81.14033700722985,12.277704746743895,5,6.886227700914878,0
22,M,Urbaine,Secondaire,Moyenne,12.632005395609333,28.801554640281367,70.77063234720356,14.835575862865587,7,9.35829143247135,0
19,F,Urbaine,Université,Moyenne,12.628602690788384,41.48286839675103,70.86816856970786,5.317428075490343,6,9.497311507779276,0
22,F,Urbaine,Secondaire,Moyenne,8.725124483522691,41.251932053222404,98.18101417071497,46.51571443211856,7,4.3969072336293085,1
20,F,Urbaine,Post-grad,Précaire,12.701544077368794,32.3821357478851,61.83590018353667,56.95185465818443,3,7.855933346712947,0
18,M,Urbaine,Université,Moyenne,15.106330249250835,31.353705931765425,100.0,51.49134107690415,8,10.0,0
20,F,Urbaine,Secondaire,Précaire,9.491813543699926,44.00307639755862,78.15811459758095,98.71093927164132,3,5.713831735091286,1
23,F,Urbaine,Secondaire,Moyenne,16.273487463740842,32.12658186958191,89.64297895456357,33.31804148568028,6,6.255138293925204,0
19,M,Urbaine,Primaire,Précaire,11.724881927564622,18.06338066103015,95.52565086965639,7.219913521769877,6,7.057637427056719,0
23,M,Rurale,Université,Précaire,9.336691465384378,4.570184569445863,74.74471427456372,17.082640783195306,6,8.388689788814265,1
17,F,Rurale,Secondaire,Précaire,14.992896230760733,48.56923468537113,78.10153236017132,54.299115201643545,3,4.144669979064805,0
21,M,Rurale,Université,Moyenne,11.139617292785193,65.18362739185918,86.97955002918363,47.48229066290159,1,1.0,1
20,F,Rurale,Secondaire,Précaire,14.278544662458323,19.314955151795594,72.19418771176589,37.85795918920283,6,7.430986935972364,0
19,F,Urbaine,Université,Moyenne,11.124724103224388,20.605113739292037,68.98537355001136,57.43706337597312,5,9.331755622914558,0
20,M,Rurale,Université,Moyenne,11.820521569410289,4.119536324293344,70.33326632980382,50.72148737955794,2,6.376081373767628,0
17,F,Urbaine,Université,Moyenne,13.480680613002875,20.56788360416841,100.0,106.56828415677356,4,5.779200332918621,0
19,M,Urbaine,Université,Moyenne,12.872691172770018,25.109787232048447,90.96887270072999,44.09644325328129,10,6.6660671553025725,0
20,F,Rurale,Primaire,Bonne,6.0134046586447845,13.708514515114265,73.10249411685479,75.38951977926565,3,10.0,0
22,M,Urbaine,Primaire,Précaire,8.636268779716826,13.027400524247831,98.09139184351146,14.297988221569499,11,5.670877185070405,1
18,F,Rurale,Université,Moyenne,14.788229954372447,27.226555093312328,73.93367129750676,56.68854635734887,2,8.14056460884067,0
18,M,Rurale,Secondaire,Précaire,11.603590233295359,24.611140006925435,55.7438169751389,116.23852822566062,3,4.692858005796381,1
18,M,Semi-urbaine,Secondaire,Précaire,10.428806091685734,14.120210922988848,95.45213486740529,24.36622488934307,3,4.788589049160802,1
21,F,Semi-urbaine,Primaire,Moyenne,7.924277954227577,48.611459921711756,100.0,75.50320622733572,2,8.690086134620985,1
20,M,Urbaine,Secondaire,Moyenne,8.760791036172455,1.4780399990921698,93.37059507278525,64.51091486042719,3,10.0,1
18,F,Urbaine,Primaire,Bonne,5.934604080114157,45.39745004458399,56.68994572847373,3.068574241275122,6,8.778004231246179,1
21,M,Urbaine,Université,Moyenne,11.696157843895401,14.23233410525009,84.64666899668869,43.554912249114246,6,2.892341119672846,0
20,F,Urbaine,Secondaire,Bonne,10.20468725825686,24.148516808347146,80.88133000370556,6.9739866890336515,7,6.160111520862602,0
21,M,Rurale,Université,Précaire,9.100236327044055,33.406224991965594,90.67318243965839,171.04833398849243,3,7.477833734199255,1
18,F,Rurale,Primaire,Précaire,11.795629724496141,28.108809171126843,72.29096084696809,83.40833452977864,5,7.119148221961032,0
19,F,Rurale,Université,Précaire,13.091911892558214,20.612937316352532,79.99784124859691,5.811176436135721,2,3.1606489993234175,1
19,M,Urbaine,Secondaire,Précaire,18.279593796629833,18.51448303269187,63.69875525465933,6.491313120813751,5,4.405608849133436,1
17,M,Urbaine,Université,Moyenne,7.464349741310359,24.593288911295918,88.32656173662079,45.12849656670342,4,5.396479097962203,0
20,M,Urbaine,Université,Moyenne,15.478143129901566,43.82524363063503,64.25656121091194,21.1475428961974,1,6.864791751298311,1
20,F,Urbaine,Secondaire,Précaire,14.919304683045215,34.90695177338801,91.56136728584401,1.776481351835633,3,3.1319121565047614,1
20,M,Semi-urbaine,Post-grad,Bonne,9.662721781869898,11.797091530700014,73.74179216495428,39.00518335277372,3,8.200450083490876,0
19,F,Urbaine,Post-grad,Bonne,12.609707863758093,55.475133751516246,37.87878188055181,24.538496170350733,8,6.814035185308099,0
17,M,Urbaine,Université,Moyenne,10.627100251987155,7.677377226121533,96.906372146487,5.327866709738558,10,4.913593197621825,1
19,M,Urbaine,Université,Précaire,12.557065741256217,48.397463967689056,92.410600288186,80.95431348892853,4,7.387173990131397,0
19,F,Rurale,Secondaire,Précaire,16.527393040213653,36.7693437855412,100.0,123.30037757391787,5,4.119954884299639,1
18,F,Rurale,Université,Précaire,13.81681869789394,8.133912099374866,53.64822239245142,70.65120884290566,6,6.8958284767077656,1
19,M,Urbaine,Primaire,Précaire,13.525825119700325,45.55342931594335,75.18175690245425,86.41735378879368,3,3.3985650232569693,0
20,M,Urbaine,Primaire,Moyenne,10.709072040136073,37.40042746314323,86.973894408428,12.198608901606734,11,3.6904300964095293,1
23,M,Urbaine,Post-grad,Précaire,7.547830005226994,34.039059318099795,93.57558839554474,15.297254939564134,5,6.091907203680631,1
20,F,Urbaine,Secondaire,Moyenne,11.374595368378776,14.67751624799286,63.056740933908515,11.693009766902671,5,5.567466116221865,1
20,F,Rurale,Université,Bonne,15.619824464591746,26.731000106425494,91.47189936590823,72.42198609888278,3,7.768577361331653,0
19,F,Rurale,Université,Moyenne,7.418496430231057,16.045474274024674,76.42334637085919,147.74590973037039,7,6.962686412444748,1
17,F,Urbaine,Université,Bonne,8.834731895469915,30.505491860505536,57.173820047698904,63.08666527518753,2,10.0,1
19,F,Urbaine,Post-grad,Précaire,12.378803208702205,10.389755243693713,73.73978519422516,106.62809462892618,5,6.469676455531917,0
20,F,Semi-urbaine,Secondaire,Moyenne,9.046035645458213,58.56177790771253,92.71565704920785,50.90220678323536,4,1.0,1
24,F,Urbaine,Primaire,Moyenne,9.622429658654362,28.277292831949335,57.80052891450549,24.52337163913607,6,2.9313219284532286,1
19,M,Rurale,Secondaire,Précaire,10.72920425481547,21.349160042160204,94.55577759413138,27.7355331939177,4,4.607746682639509,0
20,M,Urbaine,Primaire,Précaire,7.9031477874295515,35.59589768372399,89.25067003602643,3.9154548047428177,5,10.0,1
19,M,Urbaine,Primaire,Moyenne,9.077634461350895,57.345957338536635,81.19211384282393,1.5981300076793719,3,6.926553724738449,1
17,M,Urbaine,Secondaire,Moyenne,14.110283750361926,16.39735907199302,60.47203735023626,59.45020387178861,5,9.217063154506029,0
22,F,Urbaine,Université,Moyenne,8.077890653307108,41.380820189462774,61.67576764848776,28.85084367413876,6,9.01441820599553,0
21,F,Semi-urbaine,Université,Moyenne,7.2063835965154865,29.331542185761876,79.02277532301468,40.17211122280225,3,4.466185075883569,1
21,M,Urbaine,Secondaire,Moyenne,10.109925061398316,24.207956740808186,68.12589967172524,40.78396411755349,7,3.4137504313281477,0
18,M,Urbaine,Université,Précaire,14.195866507529537,2.7126752195815738,79.99362091764044,16.24329945531175,4,8.284626725179134,0
22,F,Urbaine,Secondaire,Moyenne,11.40923457600933,33.06799193500325,98.59273236022449,32.30292418464995,2,2.5590924969921964,0
17,F,Urbaine,Primaire,Précaire,10.606256765653145,40.271808547001314,80.90468173876108,31.815684132478257,12,8.955318273930212,1
21,M,Urbaine,Université,Précaire,12.13307639254682,49.027942323195845,80.49332593403253,24.58606570692879,4,6.765889353829472,0
24,F,Urbaine,Université,Bonne,6.7628777014210435,40.97408355054224,80.50520836502781,85.927880749773,2,8.232108471074206,1
18,M,Rurale,Université,Moyenne,13.484116961325098,23.165967049274276,100.0,29.99778068865978,7,7.606884500582016,0
18,M,Urbaine,Primaire,Moyenne,13.150305094210932,13.816533619505018,100.0,46.27219024996802,1,7.713656997315923,0
20,F,Urbaine,Université,Moyenne,10.772074577712836,3.1426297406720205,91.32900568260266,112.93803828224111,0,7.208973083211375,0
18,F,Semi-urbaine,Université,Moyenne,15.01777353538925,42.13183685883099,87.0488727609759,100.58302273936559,3,7.563203507924765,1
17,M,Urbaine,Université,Précaire,8.617511703140885,33.242093563212066,88.44343922283943,110.55602571090752,10,7.092170027080929,1
20,F,Semi-urbaine,Université,Précaire,15.383726979760707,26.139806288100587,100.0,15.735879466787281,2,4.247053117817186,0
17,F,Urbaine,Université,Précaire,12.463480996785753,13.597794871736024,92.1437914013083,1.780451548838995,9,6.212282865661571,0
20,F,Semi-urbaine,Université,Moyenne,10.99034223036548,5.855693160632409,100.0,15.127387720005872,3,10.0,0
18,F,Rurale,Université,Moyenne,11.940379093895066,60.14318584295842,78.71372722019386,16.33551616939095,6,7.628231698754783,0
23,F,Rurale,Post-grad,Moyenne,11.678205702567174,54.2582950337692,64.96646470447833,120.04316334566394,5,9.284899126003523,0
18,F,Semi-urbaine,Université,Moyenne,15.66084868925315,62.981130167879115,74.96410774051424,52.38304206459038,3,5.0337137474662965,0
19,F,Urbaine,Secondaire,Bonne,8.769962617586959,58.441029727183476,76.55804603871952,4.26177281275164,8,4.998894730530543,1
21,M,Semi-urbaine,Université,Précaire,9.712442282560206,26.239306334464057,100.0,7.273177555567845,4,4.593095150751102,1
17,M,Urbaine,Secondaire,Moyenne,15.108908676217439,13.723390477446188,96.0462061680402,8.460956024253997,5,4.336462019224214,0
20,M,Urbaine,Secondaire,Moyenne,10.213395194448422,21.205340635920894,75.4381521352358,49.7696391697139,4,3.7552030064881956,0
22,F,Urbaine,Université,Moyenne,14.701599231994775,14.378316666901567,97.12616765399046,66.47945175787162,4,7.466429120496694,0
17,M,Urbaine,Post-grad,Bonne,17.09830794902613,16.497031625303862,83.05628333362027,98.17862948113655,3,6.288362329323577,0
20,F,Urbaine,Post-grad,Précaire,10.7946149191751,35.07234479976579,100.0,141.2038287723646,5,8.750989766523443,0
20,F,Urbaine,Secondaire,Bonne,14.044086979725916,12.36767140023194,79.99448132966432,11.263826060553427,3,6.379207030089869,0
21,M,Urbaine,Secondaire,Bonne,8.538923155980424,30.013012906441638,61.91666114382117,18.536700172829388,7,2.1935204180373757,1
17,F,Rurale,Secondaire,Précaire,14.264199894203427,8.817666749276759,82.19873400248976,13.743088952922786,2,7.887233601282777,0
17,M,Rurale,Post-grad,Moyenne,12.598271957960302,28.13573235923288,80.00268501884055,22.21769607967047,7,2.939172848367761,0
21,F,Urbaine,Post-grad,Moyenne,13.419114846480646,26.27604540410931,64.85160028077522,123.05859254798428,4,7.42878869476337,0
20,M,Urbaine,Université,Bonne,10.063283783893816,57.17220352780183,93.78867635917462,42.79655042634774,3,5.457284928768217,0
20,F,Urbaine,Université,Précaire,7.016749753298482,9.787928660380361,100.0,67.00717380585256,3,7.465020067314917,0
20,F,Urbaine,Université,Moyenne,13.509756194248514,18.090841061389792,68.16273514415701,33.67891884627055,8,4.112762885465802,0
18,F,Urbaine,Université,Moyenne,5.809790542561636,19.189297244548907,99.5906558938326,1.4641245577588546,10,8.556651048291016,0
20,F,Urbaine,Primaire,Moyenne,11.047948523272396,43.78854504808222,75.90053759016793,3.3174338439522937,5,7.075218892607476,0
20,F,Urbaine,Secondaire,Moyenne,14.823545599259909,27.657048229760857,84.6292216506509,38.60119013946041,8,6.311593841953223,0
18,F,Semi-urbaine,Université,Moyenne,12.575693207619109,36.00801505110385,83.05341663402312,63.43250627834991,1,3.6104989502942817,0
